person_id,opening_timestamp,closing_timestamp,violation_detail,camera_source,severity
0,2026-07-17 23:05:47,2026-07-17 23:05:47,NO_HELMET,CAM_VIDEO,WARNING
1,2026-07-17 23:16:17,2026-07-17 23:16:33,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
3,2026-07-17 23:16:17,2026-07-17 23:41:06,NO_HELMET,CAM_DEMO,WARNING
4,2026-07-17 23:16:19,2026-07-17 23:16:51,NO_HARNESS,CAM_DEMO,CRITICAL
4,2026-07-17 23:16:23,2026-07-17 23:41:06,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
20,2026-07-17 23:16:25,2026-07-17 23:16:43,NEAR_EDGE:the scaffold's back edge,CAM_DEMO,WARNING
20,2026-07-17 23:16:29,2026-07-17 23:16:51,NO_HARNESS,CAM_DEMO,CRITICAL
20,2026-07-17 23:16:35,2026-07-17 23:16:51,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
40,2026-07-17 23:16:43,2026-07-17 23:17:01,NEAR_EDGE:the scaffold's back edge,CAM_DEMO,WARNING
40,2026-07-17 23:16:46,2026-07-17 23:19:41,NO_HARNESS,CAM_DEMO,CRITICAL
40,2026-07-17 23:16:53,2026-07-17 23:19:41,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
4,2026-07-17 23:16:55,2026-07-17 23:19:23,NO_HARNESS,CAM_DEMO,CRITICAL
60,2026-07-17 23:17:01,2026-07-17 23:19:51,NEAR_EDGE:the scaffold's back edge,CAM_DEMO,WARNING
60,2026-07-17 23:17:04,2026-07-17 23:19:59,NO_HARNESS,CAM_DEMO,CRITICAL
1,2026-07-17 23:18:50,2026-07-17 23:19:06,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
3,2026-07-17 23:18:50,2026-07-17 23:41:06,NO_HELMET,CAM_DEMO,WARNING
4,2026-07-17 23:18:52,2026-07-17 23:19:23,NO_HARNESS,CAM_DEMO,CRITICAL
4,2026-07-17 23:18:56,2026-07-17 23:41:06,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
20,2026-07-17 23:18:57,2026-07-17 23:19:16,NEAR_EDGE:the scaffold's back edge,CAM_DEMO,WARNING
20,2026-07-17 23:19:01,2026-07-17 23:19:23,NO_HARNESS,CAM_DEMO,CRITICAL
20,2026-07-17 23:19:07,2026-07-17 23:19:23,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
40,2026-07-17 23:19:15,2026-07-17 23:19:33,NEAR_EDGE:the scaffold's back edge,CAM_DEMO,WARNING
40,2026-07-17 23:19:19,2026-07-17 23:19:41,NO_HARNESS,CAM_DEMO,CRITICAL
40,2026-07-17 23:19:25,2026-07-17 23:19:41,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
4,2026-07-17 23:19:27,2026-07-17 23:20:52,NO_HARNESS,CAM_DEMO,CRITICAL
60,2026-07-17 23:19:33,2026-07-17 23:19:51,NEAR_EDGE:the scaffold's back edge,CAM_DEMO,WARNING
60,2026-07-17 23:19:36,2026-07-17 23:19:59,NO_HARNESS,CAM_DEMO,CRITICAL
60,2026-07-17 23:19:43,2026-07-17 23:19:59,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
80,2026-07-17 23:19:51,2026-07-17 23:20:09,NEAR_EDGE:the scaffold's back edge,CAM_DEMO,WARNING
80,2026-07-17 23:19:54,2026-07-17 23:20:17,NO_HARNESS,CAM_DEMO,CRITICAL
80,2026-07-17 23:20:00,2026-07-17 23:20:17,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
100,2026-07-17 23:20:08,2026-07-17 23:20:27,NEAR_EDGE:the scaffold's back edge,CAM_DEMO,WARNING
100,2026-07-17 23:20:12,2026-07-17 23:20:34,NO_HARNESS,CAM_DEMO,CRITICAL
100,2026-07-17 23:20:18,2026-07-17 23:20:34,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
120,2026-07-17 23:20:26,2026-07-17 23:20:44,NEAR_EDGE:the scaffold's back edge,CAM_DEMO,WARNING
120,2026-07-17 23:20:30,2026-07-17 23:20:52,NO_HARNESS,CAM_DEMO,CRITICAL
120,2026-07-17 23:20:36,2026-07-17 23:20:52,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
140,2026-07-17 23:20:44,2026-07-17 23:21:02,NEAR_EDGE:the scaffold's back edge,CAM_DEMO,WARNING
140,2026-07-17 23:20:47,2026-07-17 23:21:10,NO_HARNESS,CAM_DEMO,CRITICAL
140,2026-07-17 23:20:54,2026-07-17 23:21:10,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
4,2026-07-17 23:20:56,2026-07-17 23:21:10,NO_HARNESS,CAM_DEMO,CRITICAL
160,2026-07-17 23:21:01,2026-07-17 23:21:20,NEAR_EDGE:the scaffold's back edge,CAM_DEMO,WARNING
160,2026-07-17 23:21:05,2026-07-17 23:21:28,NO_HARNESS,CAM_DEMO,CRITICAL
160,2026-07-17 23:21:11,2026-07-17 23:21:28,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
4,2026-07-17 23:21:14,2026-07-17 23:21:28,NO_HARNESS,CAM_DEMO,CRITICAL
180,2026-07-17 23:21:19,2026-07-17 23:21:38,NEAR_EDGE:the scaffold's back edge,CAM_DEMO,WARNING
180,2026-07-17 23:21:23,2026-07-17 23:21:45,NO_HARNESS,CAM_DEMO,CRITICAL
180,2026-07-17 23:21:29,2026-07-17 23:21:45,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
4,2026-07-17 23:21:31,2026-07-17 23:23:32,NO_HARNESS,CAM_DEMO,CRITICAL
200,2026-07-17 23:21:37,2026-07-17 23:21:55,NEAR_EDGE:the scaffold's back edge,CAM_DEMO,WARNING
200,2026-07-17 23:21:41,2026-07-17 23:22:03,NO_HARNESS,CAM_DEMO,CRITICAL
200,2026-07-17 23:21:47,2026-07-17 23:22:03,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
220,2026-07-17 23:21:55,2026-07-17 23:22:13,NEAR_EDGE:the scaffold's back edge,CAM_DEMO,WARNING
220,2026-07-17 23:21:58,2026-07-17 23:22:21,NO_HARNESS,CAM_DEMO,CRITICAL
220,2026-07-17 23:22:05,2026-07-17 23:22:21,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
240,2026-07-17 23:22:13,2026-07-17 23:22:31,NEAR_EDGE:the scaffold's back edge,CAM_DEMO,WARNING
240,2026-07-17 23:22:16,2026-07-17 23:22:39,NO_HARNESS,CAM_DEMO,CRITICAL
240,2026-07-17 23:22:23,2026-07-17 23:22:39,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
260,2026-07-17 23:22:30,2026-07-17 23:22:49,NEAR_EDGE:the scaffold's back edge,CAM_DEMO,WARNING
260,2026-07-17 23:22:34,2026-07-17 23:22:57,NO_HARNESS,CAM_DEMO,CRITICAL
260,2026-07-17 23:22:40,2026-07-17 23:22:57,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
280,2026-07-17 23:22:48,2026-07-17 23:23:06,NEAR_EDGE:the scaffold's back edge,CAM_DEMO,WARNING
280,2026-07-17 23:22:52,2026-07-17 23:23:14,NO_HARNESS,CAM_DEMO,CRITICAL
280,2026-07-17 23:22:58,2026-07-17 23:23:14,NEAR_EDGE:the scaffold's front edge,CAM_DEMO,WARNING
